id_movimiento,codigo_producto,tipo,cantidad,fecha
1,BROD-2P,E,35,2024-09-01
2,BROD-4P,E,40,2024-09-01
3,CABL-12,E,8,2024-09-01
4,CABL-14,E,12,2024-09-01
5,CALAD-1,E,11,2024-09-01
6,CINT-5M,E,17,2024-09-01
7,CLAV-2P,E,90,2024-09-01
8,CLAV-3P,E,35,2024-09-01
9,CODE-1P,E,250,2024-09-01
10,CODE-2P,E,115,2024-09-01
11,DEST-PH2,E,31,2024-09-01
12,DEST-PL6,E,26,2024-09-01
13,ESMA-BL,E,24,2024-09-01
14,ESMA-NG,E,17,2024-09-01
15,ESMER-1,E,8,2024-09-01
16,ESMER-2,E,5,2024-09-01
17,FOCOS-L15,E,90,2024-09-01
18,FOCOS-L9,E,110,2024-09-01
19,INTE-SNC,E,100,2024-09-01
20,LIAV-10,E,16,2024-09-01
21,LIJAD-1,E,14,2024-09-01
22,LLAV-12,E,19,2024-09-01
23,LLAV-1P,E,13,2024-09-01
24,MART-1A,E,30,2024-09-01
25,MART-2A,E,19,2024-09-01
26,NIVE-60,E,18,2024-09-01
27,PINT-BG,E,27,2024-09-01
28,PINT-BL,E,60,2024-09-01
29,PINT-GR,E,33,2024-09-01
30,PLIE-6P,E,21,2024-09-01
31,PLIE-8P,E,18,2024-09-01
32,ROLLO-1,E,25,2024-09-01
33,ROND-M6,E,1550,2024-09-01
34,ROND-M8,E,1400,2024-09-01
35,SELL-TF,E,250,2024-09-01
36,SIER-C1,E,4,2024-09-01
37,SIER-HK,E,24,2024-09-01
38,SOPLA-1,E,4,2024-09-01
39,TABL-1P,E,8,2024-09-01
40,TABL-2P,E,13,2024-09-01
41,TALDR-1,E,8,2024-09-01
42,TALDR-2,E,5,2024-09-01
43,TOMA-DBL,E,50,2024-09-01
44,TOMA-SNC,E,100,2024-09-01
45,TORN-M10,E,450,2024-09-01
46,TORN-M4,E,950,2024-09-01
47,TORN-M6,E,650,2024-09-01
48,TORN-M8,E,800,2024-09-01
49,TUBO-1P,E,30,2024-09-01
50,TUBO-2P,E,28,2024-09-01
51,TURC-M6,E,2000,2024-09-01
52,TURC-M8,E,2000,2024-09-01
53,CINT-5M,S,2,2024-09-02
54,CLAV-2P,S,1,2024-09-02
55,CLAV-3P,S,4,2024-09-02
56,CODE-1P,S,2,2024-09-02
57,ESMA-NG,S,1,2024-09-02
58,FOCOS-L15,S,2,2024-09-02
59,FOCOS-L9,S,4,2024-09-02
60,LIJAD-1,S,1,2024-09-02
61,LLAV-12,S,1,2024-09-02
62,PINT-BG,S,1,2024-09-02
63,PINT-BL,S,5,2024-09-02
64,ROND-M6,S,22,2024-09-02
65,ROND-M8,S,19,2024-09-02
66,TALDR-2,S,1,2024-09-02
67,TOMA-SNC,S,1,2024-09-02
68,TORN-M10,S,5,2024-09-02
69,TORN-M4,S,4,2024-09-02
70,TORN-M6,S,5,2024-09-02
71,TORN-M8,S,28,2024-09-02
72,TUBO-1P,S,1,2024-09-02
73,TURC-M6,S,51,2024-09-02
74,TURC-M8,S,27,2024-09-02
75,CLAV-2P,S,1,2024-09-03
76,CLAV-3P,S,5,2024-09-03
77,CODE-1P,S,10,2024-09-03
78,ESMA-BL,S,1,2024-09-03
79,FOCOS-L15,S,1,2024-09-03
80,FOCOS-L9,S,3,2024-09-03
81,LIJAD-1,S,1,2024-09-03
82,MART-1A,S,1,2024-09-03
83,NIVE-60,S,2,2024-09-03
84,PINT-BL,S,4,2024-09-03
85,ROND-M6,S,32,2024-09-03
86,ROND-M8,S,13,2024-09-03
87,SELL-TF,S,3,2024-09-03
88,SIER-C1,S,1,2024-09-03
89,TOMA-SNC,S,12,2024-09-03
90,TORN-M10,S,11,2024-09-03
91,TORN-M4,S,4,2024-09-03
92,TORN-M6,S,3,2024-09-03
93,TORN-M8,S,3,2024-09-03
94,TURC-M6,S,22,2024-09-03
95,TURC-M8,S,8,2024-09-03
96,CLAV-3P,S,1,2024-09-04
97,CODE-1P,S,6,2024-09-04
98,CODE-2P,S,4,2024-09-04
99,ESMA-NG,S,4,2024-09-04
100,ESMER-1,S,1,2024-09-04
101,FOCOS-L15,S,2,2024-09-04
102,FOCOS-L9,S,2,2024-09-04
103,INTE-SNC,S,1,2024-09-04
104,LIAV-10,S,1,2024-09-04
105,LIJAD-1,S,1,2024-09-04
106,NIVE-60,S,1,2024-09-04
107,PINT-BG,S,2,2024-09-04
108,PINT-BL,S,1,2024-09-04
109,PINT-GR,S,2,2024-09-04
110,PLIE-6P,S,1,2024-09-04
111,ROND-M6,S,106,2024-09-04
112,ROND-M8,S,4,2024-09-04
113,SELL-TF,S,2,2024-09-04
114,TOMA-SNC,S,8,2024-09-04
115,TORN-M10,S,5,2024-09-04
116,TORN-M4,S,10,2024-09-04
117,TORN-M6,S,1,2024-09-04
