id_movimiento,codigo_producto,tipo,cantidad,fecha
100001,BROD-2P,E,35,2024-09-01
100002,BROD-4P,E,40,2024-09-01
100003,CABL-12,E,8,2024-09-01
100004,CABL-14,E,12,2024-09-01
100005,CALAD-1,E,11,2024-09-01
100006,CINT-5M,E,17,2024-09-01
100007,CLAV-2P,E,90,2024-09-01
100008,CLAV-3P,E,35,2024-09-01
100009,CODE-1P,E,250,2024-09-01
100010,CODE-2P,E,115,2024-09-01
100011,DEST-PH2,E,31,2024-09-01
100012,DEST-PL6,E,26,2024-09-01
100013,ESMA-BL,E,24,2024-09-01
100014,ESMA-NG,E,17,2024-09-01
100015,ESMER-1,E,8,2024-09-01
100016,ESMER-2,E,5,2024-09-01
100017,FOCOS-L15,E,90,2024-09-01
100018,FOCOS-L9,E,110,2024-09-01
100019,INTE-SNC,E,100,2024-09-01
100020,LIAV-10,E,16,2024-09-01
100021,LIJAD-1,E,14,2024-09-01
100022,LLAV-12,E,19,2024-09-01
100023,LLAV-1P,E,13,2024-09-01
100024,MART-1A,E,30,2024-09-01
100025,MART-2A,E,19,2024-09-01
100026,NIVE-60,E,18,2024-09-01
100027,PINT-BG,E,27,2024-09-01
100028,PINT-BL,E,60,2024-09-01
100029,PINT-GR,E,33,2024-09-01
100030,PLIE-6P,E,21,2024-09-01
100031,PLIE-8P,E,18,2024-09-01
100032,ROLLO-1,E,25,2024-09-01
100033,ROND-M6,E,1550,2024-09-01
100034,ROND-M8,E,1400,2024-09-01
100035,SELL-TF,E,250,2024-09-01
100036,SIER-C1,E,4,2024-09-01
100037,SIER-HK,E,24,2024-09-01
100038,SOPLA-1,E,4,2024-09-01
100039,TABL-1P,E,8,2024-09-01
100040,TABL-2P,E,13,2024-09-01
100041,TALDR-1,E,8,2024-09-01
100042,TALDR-2,E,5,2024-09-01
100043,TOMA-DBL,E,50,2024-09-01
100044,TOMA-SNC,E,100,2024-09-01
100045,TORN-M10,E,450,2024-09-01
100046,TORN-M4,E,950,2024-09-01
100047,TORN-M6,E,650,2024-09-01
100048,TORN-M8,E,800,2024-09-01
100049,TUBO-1P,E,30,2024-09-01
100050,TUBO-2P,E,28,2024-09-01
100051,TURC-M6,E,2000,2024-09-01
100052,TURC-M8,E,2000,2024-09-01
100053,CINT-5M,S,2,2024-09-02
100054,CLAV-2P,S,1,2024-09-02
100055,CLAV-3P,S,4,2024-09-02
100056,CODE-1P,S,2,2024-09-02
100057,ESMA-NG,S,1,2024-09-02
100058,FOCOS-L15,S,2,2024-09-02
100059,FOCOS-L9,S,4,2024-09-02
100060,LIJAD-1,S,1,2024-09-02
100061,LLAV-12,S,1,2024-09-02
100062,PINT-BG,S,1,2024-09-02
100063,PINT-BL,S,5,2024-09-02
100064,ROND-M6,S,22,2024-09-02
100065,ROND-M8,S,19,2024-09-02
