id_movimiento,codigo_producto,tipo,cantidad,fecha
1,DEST-PL6,E,55,2025-01-05
2,TORN-M4,E,34,2025-01-08
3,TURC-M8,E,74,2025-01-09
4,TABL-1P,E,49,2025-01-09
5,TALDR-2,E,53,2025-01-10
6,PINT-BL,E,28,2025-01-10
7,FOCOS-L15,E,61,2025-01-12
8,TUBO-1P,E,54,2025-01-13
9,ROND-M6,E,23,2025-01-16
10,SIER-HK,E,63,2025-01-18
11,TORN-M8,E,48,2025-01-22
12,LLAV-12,E,53,2025-01-22
13,LLAV-1P,E,78,2025-01-23
14,BROD-2P,E,66,2025-01-25
15,TOMA-SNC,E,51,2025-01-25
16,SOPLA-1,E,93,2025-01-29
17,LIAV-10,E,39,2025-02-01
18,CODE-1P,E,60,2025-02-01
19,MART-2A,E,73,2025-02-02
20,FOCOS-L9,E,91,2025-02-02
21,ROND-M8,E,47,2025-02-03
22,PINT-GR,E,30,2025-02-03
23,TORN-M6,E,55,2025-02-05
24,ROLLO-1,E,46,2025-02-08
25,PLIE-8P,E,63,2025-02-09
26,PINT-BG,E,49,2025-02-11
27,NIVE-60,E,32,2025-02-19
28,BROD-4P,E,67,2025-02-19
29,CALAD-1,E,99,2025-02-20
30,CINT-5M,E,31,2025-02-22
31,ESMER-2,E,35,2025-02-22
32,ESMA-BL,E,32,2025-02-22
33,TOMA-DBL,E,79,2025-02-22
34,CODE-2P,E,83,2025-02-24
35,TABL-2P,E,60,2025-02-25
36,PLIE-6P,E,40,2025-02-28
37,ESMA-NG,E,55,2025-03-04
38,ESMER-1,E,78,2025-03-14
39,CABL-14,E,41,2025-03-14
40,TORN-M10,E,33,2025-03-15
41,MART-1A,E,45,2025-03-15
42,SIER-C1,E,30,2025-03-16
43,CLAV-3P,E,23,2025-03-17
44,SELL-TF,E,51,2025-03-17
45,TUBO-2P,E,47,2025-03-18
46,TURC-M6,E,31,2025-03-21
47,DEST-PH2,E,77,2025-03-21
48,CLAV-2P,E,84,2025-03-23
49,TALDR-1,E,64,2025-03-23
50,CABL-12,E,29,2025-03-23
51,LIJAD-1,E,57,2025-03-26
52,INTE-SNC,E,54,2025-03-27
53,DEST-PH2,S,29,2025-04-02
54,BROD-2P,S,1,2025-04-03
55,DEST-PH2,S,19,2025-04-04
56,MART-1A,S,21,2025-04-06
57,ROND-M6,S,8,2025-04-08
58,ESMER-2,S,36,2025-04-10
59,MART-1A,S,26,2025-04-11
60,CABL-12,S,3,2025-04-18
61,SOPLA-1,S,20,2025-04-21
62,BROD-4P,S,5,2025-04-26
63,NIVE-60,S,25,2025-04-30
64,ESMER-1,S,15,2025-04-30
65,DEST-PL6,S,9,2025-05-01
66,CINT-5M,S,8,2025-05-02
67,ROND-M8,S,32,2025-05-03
68,CLAV-3P,S,19,2025-05-03
69,ROLLO-1,S,3,2025-05-04
70,PLIE-6P,S,19,2025-05-05
71,PINT-BL,S,36,2025-05-06
72,SIER-C1,S,16,2025-05-06
73,CABL-14,S,3,2025-05-11
74,ESMER-2,S,37,2025-05-12
75,SOPLA-1,S,10,2025-05-14
76,TURC-M6,S,36,2025-05-17
77,ESMER-1,S,17,2025-05-19
78,CALAD-1,S,8,2025-05-21
79,TURC-M8,S,40,2025-05-21
80,PINT-GR,S,3,2025-05-23
81,SIER-HK,S,37,2025-05-25
82,PINT-BL,S,26,2025-05-26
83,TURC-M8,S,8,2025-05-27
84,DEST-PH2,S,26,2025-05-28
85,CALAD-1,S,30,2025-06-01
86,PINT-GR,S,3,2025-06-01
87,PINT-BG,S,39,2025-06-04
88,NIVE-60,S,39,2025-06-07
89,NIVE-60,S,17,2025-06-18
90,ROND-M6,S,14,2025-06-21
91,TALDR-1,S,28,2025-06-22
92,TORN-M6,S,40,2025-06-24
93,MART-2A,S,8,2025-06-24
94,LIAV-10,S,37,2025-07-01
95,CLAV-2P,E,193,2025-07-03
96,CABL-12,S,2,2025-07-04
97,LIAV-10,S,14,2025-07-07
98,PINT-BG,S,20,2025-07-08
99,ESMA-BL,S,3,2025-07-11
100,TURC-M6,S,39,2025-07-12
101,TALDR-2,E,120,2025-07-12
102,LIAV-10,E,114,2025-07-14
103,TORN-M10,S,32,2025-07-18
104,CINT-5M,S,36,2025-07-19
105,SOPLA-1,E,78,2025-07-20
106,SIER-HK,S,23,2025-07-21
107,TORN-M8,S,28,2025-07-22
108,MART-2A,S,40,2025-07-27
109,ESMA-NG,S,3,2025-07-27
110,LIJAD-1,S,9,2025-07-30
111,ROND-M8,S,10,2025-07-31
112,LIJAD-1,S,24,2025-08-01
113,CALAD-1,S,8,2025-08-02
114,TALDR-1,S,35,2025-08-03
115,CLAV-2P,S,12,2025-08-05
116,TORN-M10,S,34,2025-08-06
117,ROLLO-1,S,2,2025-08-08
118,ESMER-1,E,191,2025-08-09
119,TORN-M4,S,39,2025-08-13
120,PLIE-8P,S,5,2025-08-13
121,DEST-PL6,S,29,2025-08-14
122,MART-2A,S,12,2025-08-15
123,BROD-4P,S,1,2025-08-16
124,CABL-14,S,4,2025-08-18
125,SIER-HK,S,20,2025-08-21
126,TORN-M8,S,16,2025-08-21
127,PLIE-6P,S,34,2025-08-25
128,LIJAD-1,E,102,2025-09-06
129,PINT-BL,E,83,2025-09-06
130,BROD-2P,S,4,2025-09-07
131,INTE-SNC,S,16,2025-09-07
132,PINT-BG,S,38,2025-09-09
133,CLAV-3P,E,119,2025-09-11
134,ESMER-1,S,5,2025-09-13
135,PLIE-8P,S,7,2025-09-17
136,ESMA-BL,S,2,2025-09-19
137,SIER-HK,E,50,2025-09-24
138,NIVE-60,E,103,2025-09-26
139,SIER-C1,S,12,2025-10-03
140,FOCOS-L9,S,16,2025-10-03
141,INTE-SNC,S,20,2025-10-08
142,ESMA-NG,S,3,2025-10-10
143,CLAV-2P,S,29,2025-10-13
144,TORN-M4,E,73,2025-10-17
145,TURC-M6,E,191,2025-10-18
146,TORN-M6,S,32,2025-10-22
147,TURC-M8,S,24,2025-10-22
148,TORN-M10,E,91,2025-10-22
149,MART-1A,S,18,2025-10-23
150,SOPLA-1,S,8,2025-10-24
151,TUBO-1P,S,14,2025-10-24
152,TALDR-2,S,35,2025-10-26
153,CLAV-2P,S,15,2025-10-26
154,CODE-2P,S,18,2025-10-27
155,PINT-BL,S,10,2025-11-01
156,SIER-C1,S,27,2025-11-03
157,TORN-M6,S,13,2025-11-03
158,TALDR-1,E,179,2025-11-03
159,ESMER-2,S,11,2025-11-07
160,TABL-2P,S,10,2025-11-08
161,DEST-PL6,S,23,2025-11-09
162,ROND-M6,S,28,2025-11-11
163,TURC-M6,S,9,2025-11-13
164,TORN-M4,S,17,2025-11-16
165,SIER-C1,E,88,2025-11-17
166,ROND-M8,S,38,2025-11-18
167,FOCOS-L15,S,4,2025-11-18
168,PLIE-6P,S,15,2025-11-19
169,LIJAD-1,S,31,2025-11-26
170,LLAV-12,S,17,2025-11-29
171,TORN-M4,S,13,2025-11-30
172,CODE-1P,S,6,2025-11-30
173,TALDR-1,S,8,2025-12-01
174,CLAV-3P,S,36,2025-12-03
175,PLIE-8P,S,32,2025-12-06
176,TUBO-2P,S,6,2025-12-07
177,CINT-5M,S,24,2025-12-16
178,TORN-M10,S,13,2025-12-17
179,LIAV-10,S,9,2025-12-20
180,CLAV-3P,S,34,2025-12-27
181,TORN-M8,S,21,2025-12-27
182,TALDR-2,S,39,2025-12-28
183,TALDR-2,S,37,2025-12-28
184,CALAD-1,S,19,2026-01-07
185,ROND-M8,S,26,2026-01-10
186,SIER-C1,S,59,2026-01-19
187,TURC-M6,S,52,2026-01-22
188,TOMA-DBL,S,14,2026-01-28
189,DEST-PH2,S,42,2026-01-30
190,DEST-PL6,S,52,2026-02-01
191,LLAV-1P,S,16,2026-02-06
192,SIER-HK,S,60,2026-02-13
193,TUBO-2P,S,10,2026-02-18
194,MART-2A,S,44,2026-02-20
195,CINT-5M,S,24,2026-02-20
196,ROND-M8,E,144,2026-02-21
197,ESMER-1,S,38,2026-02-24
198,PINT-BL,S,15,2026-03-02
199,TALDR-1,S,12,2026-03-04
200,CLAV-2P,S,22,2026-03-07
201,FOCOS-L9,S,8,2026-03-08
202,LIJAD-1,S,17,2026-03-08
203,LLAV-1P,E,47,2026-03-11
204,CABL-12,E,118,2026-03-12
205,TABL-2P,E,144,2026-03-13
206,CINT-5M,S,56,2026-03-18
207,FOCOS-L15,S,13,2026-03-20
208,TUBO-1P,S,8,2026-03-21
209,TURC-M8,S,42,2026-03-21
210,TURC-M8,S,53,2026-03-21
211,TALDR-2,S,56,2026-03-22
212,SIER-C1,S,49,2026-03-22
213,TOMA-SNC,S,8,2026-03-24
214,MART-1A,S,48,2026-03-24
215,TABL-1P,S,16,2026-03-25
216,ESMER-1,S,14,2026-03-26
217,TALDR-2,S,49,2026-03-27
218,FOCOS-L15,E,120,2026-03-27
219,LLAV-1P,S,9,2026-03-29
220,SELL-TF,S,12,2026-03-30
221,TORN-M4,S,37,2026-03-30
222,TOMA-SNC,S,4,2026-04-02
223,BROD-2P,E,110,2026-04-03
224,SOPLA-1,E,126,2026-04-05
225,CODE-1P,S,4,2026-04-08
226,ROND-M6,E,87,2026-04-08
227,ESMER-2,S,22,2026-04-09
228,SELL-TF,S,10,2026-04-10
229,ROLLO-1,E,60,2026-04-11
230,PLIE-6P,E,137,2026-04-12
231,LIJAD-1,S,41,2026-04-13
232,TOMA-DBL,S,8,2026-04-14
233,CODE-2P,S,20,2026-04-15
234,PINT-BG,S,52,2026-04-15
235,TORN-M10,E,39,2026-04-15
236,PLIE-6P,S,39,2026-04-17
237,TABL-1P,S,14,2026-04-19
238,TABL-2P,S,4,2026-04-19
239,LIAV-10,S,33,2026-04-21
240,TORN-M8,S,12,2026-04-22
241,SELL-TF,E,72,2026-04-23
242,DEST-PH2,S,39,2026-04-24
243,LLAV-12,S,7,2026-04-25
244,CLAV-3P,S,42,2026-05-02
245,CLAV-2P,E,59,2026-05-10
246,ROND-M6,S,28,2026-05-12
247,TALDR-1,S,10,2026-05-14
248,TALDR-1,E,38,2026-05-18
249,PINT-BG,E,65,2026-05-24
250,PLIE-8P,E,126,2026-05-25
251,FOCOS-L9,E,84,2026-05-26
252,MART-1A,S,34,2026-05-28
253,TORN-M10,S,50,2026-05-28
254,SOPLA-1,S,21,2026-05-29
255,PINT-BL,S,16,2026-06-02
256,TORN-M4,E,125,2026-06-02
257,ROND-M6,S,37,2026-06-05
258,MART-2A,E,128,2026-06-05
259,TORN-M4,S,40,2026-06-06
260,CLAV-3P,E,108,2026-06-10
261,DEST-PL6,S,52,2026-06-12
